#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
    292       1.6481229e+00       2.1479764e+00       3.3545437e-02
    293       1.6486451e+00       2.1462722e+00       3.3474209e-02
    294       1.6491570e+00       2.1445813e+00       3.3403029e-02
    295       1.6496581e+00       2.1429036e+00       3.3331904e-02
    296       1.6501478e+00       2.1412389e+00       3.3260841e-02
    297       1.6506260e+00       2.1395870e+00       3.3189847e-02
    298       1.6510925e+00       2.1379478e+00       3.3118928e-02
    299       1.6515470e+00       2.1363210e+00       3.3048090e-02
    300       1.6519894e+00       2.1347066e+00       3.2977340e-02
    301       1.6524197e+00       2.1331043e+00       3.2906683e-02
    302       1.6528375e+00       2.1315140e+00       3.2836125e-02
    303       1.6532430e+00       2.1299356e+00       3.2765672e-02
    304       1.6536364e+00       2.1283688e+00       3.2695328e-02
    305       1.6540182e+00       2.1268135e+00       3.2625099e-02
    306       1.6543890e+00       2.1252697e+00       3.2554990e-02
    307       1.6547495e+00       2.1237370e+00       3.2485005e-02
    308       1.6551007e+00       2.1222155e+00       3.2415148e-02
    309       1.6554436e+00       2.1207049e+00       3.2345423e-02
    310       1.6557788e+00       2.1192051e+00       3.2275834e-02
    311       1.6561076e+00       2.1177161e+00       3.2206384e-02
    312       1.6564311e+00       2.1162376e+00       3.2137076e-02
    313       1.6567510e+00       2.1147696e+00       3.2067913e-02
    314       1.6570694e+00       2.1133119e+00       3.1998897e-02
    315       1.6573871e+00       2.1118646e+00       3.1930031e-02
    316       1.6577056e+00       2.1104274e+00       3.1861316e-02
    317       1.6580269e+00       2.1090002e+00       3.1792753e-02
    318       1.6583522e+00       2.1075831e+00       3.1724343e-02
    319       1.6586834e+00       2.1061759e+00       3.1656089e-02
    320       1.6590217e+00       2.1047785e+00       3.1587989e-02
    321       1.6593684e+00       2.1033910e+00       3.1520046e-02
    322       1.6597254e+00       2.1020131e+00       3.1452258e-02
    323       1.6600946e+00       2.1006449e+00       3.1384626e-02
    324       1.6604774e+00       2.0992864e+00       3.1317149e-02
    325       1.6608753e+00       2.0979374e+00       3.1249828e-02
    326       1.6612895e+00       2.0965980e+00       3.1182661e-02
    327       1.6617211e+00       2.0952681e+00       3.1115647e-02
    328       1.6621702e+00       2.0939477e+00       3.1048787e-02
    329       1.6626375e+00       2.0926367e+00       3.0982078e-02
    330       1.6631239e+00       2.0913352e+00       3.0915520e-02
    331       1.6636294e+00       2.0900430e+00       3.0849111e-02
    332       1.6641544e+00       2.0887602e+00       3.0782852e-02
    333       1.6646990e+00       2.0874868e+00       3.0716741e-02
    334       1.6652623e+00       2.0862226e+00       3.0650776e-02
    335       1.6658437e+00       2.0849678e+00       3.0584958e-02
    336       1.6664421e+00       2.0837221e+00       3.0519285e-02
    337       1.6670567e+00       2.0824858e+00       3.0453758e-02
    338       1.6676861e+00       2.0812585e+00       3.0388375e-02
    339       1.6683279e+00       2.0800404e+00       3.0323137e-02
    340       1.6689807e+00       2.0788314e+00       3.0258043e-02
    341       1.6696428e+00       2.0776315e+00       3.0193094e-02
    342       1.6703116e+00       2.0764405e+00       3.0128291e-02
    343       1.6709847e+00       2.0752584e+00       3.0063634e-02
    344       1.6716594e+00       2.0740851e+00       2.9999125e-02
    345       1.6723327e+00       2.0729206e+00       2.9934764e-02
    346       1.6730013e+00       2.0717648e+00       2.9870553e-02
    347       1.6736622e+00       2.0706175e+00       2.9806495e-02
    348       1.6743128e+00       2.0694787e+00       2.9742591e-02
    349       1.6749496e+00       2.0683483e+00       2.9678844e-02
    350       1.6755695e+00       2.0672261e+00       2.9615257e-02
    351       1.6761696e+00       2.0661119e+00       2.9551832e-02
    352       1.6767462e+00       2.0650058e+00       2.9488573e-02
    353       1.6772958e+00       2.0639075e+00       2.9425483e-02
    354       1.6778154e+00       2.0628168e+00       2.9362566e-02
    355       1.6783022e+00       2.0617337e+00       2.9299825e-02
    356       1.6787528e+00       2.0606579e+00       2.9237265e-02
    357       1.6791645e+00       2.0595893e+00       2.9174890e-02
    358       1.6795345e+00       2.0585277e+00       2.9112704e-02
    359       1.6798600e+00       2.0574729e+00       2.9050712e-02
    360       1.6801392e+00       2.0564247e+00       2.8988918e-02
    361       1.6803701e+00       2.0553830e+00       2.8927327e-02
    362       1.6805506e+00       2.0543476e+00       2.8865943e-02
