#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
    409      -5.0124084e+00      -5.3753174e+00       2.6258843e-02
    410      -5.0117792e+00      -5.3744307e+00       2.6209763e-02
    411      -5.0108835e+00      -5.3735462e+00       2.6160914e-02
    412      -5.0103271e+00      -5.3726646e+00       2.6112267e-02
    413      -5.0096578e+00      -5.3717856e+00       2.6063830e-02
    414      -5.0090282e+00      -5.3709094e+00       2.6015598e-02
    415      -5.0084390e+00      -5.3700360e+00       2.5967568e-02
    416      -5.0077405e+00      -5.3691651e+00       2.5919746e-02
    417      -5.0069348e+00      -5.3682964e+00       2.5872140e-02
    418      -5.0064757e+00      -5.3674308e+00       2.5824721e-02
    419      -5.0059121e+00      -5.3665680e+00       2.5777496e-02
    420      -5.0052451e+00      -5.3657077e+00       2.5730473e-02
    421      -5.0049282e+00      -5.3648507e+00       2.5683622e-02
    422      -5.0045093e+00      -5.3639968e+00       2.5636951e-02
    423      -5.0045946e+00      -5.3631472e+00       2.5590419e-02
    424      -5.0044300e+00      -5.3623012e+00       2.5544045e-02
    425      -5.0043186e+00      -5.3614589e+00       2.5497825e-02
    426      -5.0044126e+00      -5.3606207e+00       2.5451743e-02
    427      -5.0042604e+00      -5.3597862e+00       2.5405816e-02
    428      -5.0044674e+00      -5.3589560e+00       2.5360017e-02
    429      -5.0044311e+00      -5.3581296e+00       2.5314364e-02
    430      -5.0043052e+00      -5.3573067e+00       2.5268863e-02
    431      -5.0046948e+00      -5.3564886e+00       2.5223475e-02
