--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
1220.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.50426        0.00000
1230.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51077        0.00003
1230.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53183        0.00157
1240.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51917        0.00000
1240.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51852        0.06556
1250.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52799        0.11094
1250.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52621        0.00000
1260.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.54574        0.00000
1260.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.49904        0.00000
1270.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51772        0.00578
1270.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.51405        0.00000
1280.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.55047        0.00000
1280.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.53465        0.02314
1290.0        0.80652        0.61517       -0.4445376977        0.0006695953        0.52939        0.00001
1290.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.52946        0.39888
1300.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.54889        0.00000
1300.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.54587        0.00000
1310.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.52477        0.00000
1310.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.51732        0.01779
1320.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.53518        0.00040
1320.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.52849        0.00000
1330.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.52431        0.00004
1330.0        0.79349        0.62598       -0.4438252280        0.0008044146        0.52915        0.03247
1340.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52105        0.16752
1340.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52004        0.05060
1350.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52673        0.00015
1350.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52197        0.00000
1360.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52161        0.00056
1360.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51211        0.00000
1370.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.53849        0.00000
1370.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51597        0.00000
1380.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.53939        0.00048
1380.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51304        0.00000
1390.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50037        0.00000
1390.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52837        0.00000
1400.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51808        0.00018
1400.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50938        0.00000
1410.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51953        0.22497
1410.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51318        0.00038
1420.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.52129        0.00203
1420.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.53970        0.00132
1430.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50662        0.00000
1430.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51449        0.00019
1440.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.54376        0.00002
1440.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50906        0.00001
1450.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.54291        0.00020
1450.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.49729        0.00000
1460.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50212        0.00000
1460.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.51697        0.00001
1470.0        0.77934        0.61426       -0.4424919188        0.0007770226        0.50043        0.00000
1470.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53185        1.00000
1480.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53801        0.00057
1480.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54303        0.00000
1490.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54180        0.00000
1490.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53194        0.21903
1500.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51116        0.00000
1500.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53248        0.00000
1510.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51266        0.00000
