#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    374       8.2565353e-01       7.8379302e-01       1.5451907e-02
    375       8.2568110e-01       7.8390472e-01       1.5411106e-02
    376       8.2567597e-01       7.8401582e-01       1.5370519e-02
    377       8.2563933e-01       7.8412622e-01       1.5330145e-02
    378       8.2557150e-01       7.8423587e-01       1.5289981e-02
    379       8.2547226e-01       7.8434467e-01       1.5250025e-02
    380       8.2534174e-01       7.8445256e-01       1.5210275e-02
    381       8.2518125e-01       7.8455946e-01       1.5170729e-02
    382       8.2499101e-01       7.8466530e-01       1.5131384e-02
    383       8.2477039e-01       7.8477001e-01       1.5092239e-02
    384       8.2452070e-01       7.8487353e-01       1.5053291e-02
    385       8.2424276e-01       7.8497579e-01       1.5014539e-02
    386       8.2393702e-01       7.8507672e-01       1.4975981e-02
    387       8.2360443e-01       7.8517628e-01       1.4937614e-02
    388       8.2324492e-01       7.8527439e-01       1.4899437e-02
    389       8.2285818e-01       7.8537101e-01       1.4861448e-02
    390       8.2244439e-01       7.8546607e-01       1.4823646e-02
    391       8.2200402e-01       7.8555952e-01       1.4786029e-02
    392       8.2153798e-01       7.8565130e-01       1.4748594e-02
    393       8.2104697e-01       7.8574136e-01       1.4711341e-02
    394       8.2053097e-01       7.8582966e-01       1.4674267e-02
    395       8.1999033e-01       7.8591614e-01       1.4637372e-02
    396       8.1942608e-01       7.8600077e-01       1.4600654e-02
    397       8.1883860e-01       7.8608348e-01       1.4564111e-02
    398       8.1822807e-01       7.8616425e-01       1.4527741e-02
    399       8.1759475e-01       7.8624302e-01       1.4491544e-02
    400       8.1693948e-01       7.8631976e-01       1.4455519e-02
    401       8.1626326e-01       7.8639443e-01       1.4419663e-02
    402       8.1556582e-01       7.8646700e-01       1.4383976e-02
    403       8.1484708e-01       7.8653742e-01       1.4348456e-02
    404       8.1410757e-01       7.8660566e-01       1.4313102e-02
    405       8.1334770e-01       7.8667169e-01       1.4277913e-02
    406       8.1256791e-01       7.8673548e-01       1.4242889e-02
    407       8.1176840e-01       7.8679698e-01       1.4208027e-02
    408       8.1094901e-01       7.8685618e-01       1.4173326e-02
    409       8.1011036e-01       7.8691303e-01       1.4138787e-02
    410       8.0925339e-01       7.8696752e-01       1.4104407e-02
    411       8.0838008e-01       7.8701962e-01       1.4070186e-02
    412       8.0749046e-01       7.8706931e-01       1.4036123e-02
    413       8.0658364e-01       7.8711656e-01       1.4002216e-02
    414       8.0566040e-01       7.8716135e-01       1.3968466e-02
    415       8.0472085e-01       7.8720366e-01       1.3934871e-02
    416       8.0376529e-01       7.8724347e-01       1.3901431e-02
    417       8.0279382e-01       7.8728076e-01       1.3868144e-02
    418       8.0180695e-01       7.8731552e-01       1.3835010e-02
    419       8.0080594e-01       7.8734771e-01       1.3802029e-02
    420       7.9979044e-01       7.8737734e-01       1.3769199e-02
    421       7.9876064e-01       7.8740438e-01       1.3736519e-02
    422       7.9771732e-01       7.8742882e-01       1.3703990e-02
    423       7.9666033e-01       7.8745064e-01       1.3671610e-02
    424       7.9559008e-01       7.8746984e-01       1.3639379e-02
    425       7.9450680e-01       7.8748639e-01       1.3607297e-02
    426       7.9341058e-01       7.8750030e-01       1.3575362e-02
    427       7.9230196e-01       7.8751155e-01       1.3543574e-02
    428       7.9118234e-01       7.8752012e-01       1.3511933e-02
    429       7.9005327e-01       7.8752603e-01       1.3480438e-02
    430       7.8891517e-01       7.8752926e-01       1.3449088e-02
    431       7.8776753e-01       7.8752981e-01       1.3417884e-02
    432       7.8661048e-01       7.8752768e-01       1.3386824e-02
    433       7.8544448e-01       7.8752287e-01       1.3355909e-02
    434       7.8427007e-01       7.8751538e-01       1.3325137e-02
    435       7.8308787e-01       7.8750520e-01       1.3294508e-02
    436       7.8189846e-01       7.8749234e-01       1.3264022e-02
    437       7.8070281e-01       7.8747680e-01       1.3233679e-02
    438       7.7950178e-01       7.8745859e-01       1.3203478e-02
    439       7.7829634e-01       7.8743772e-01       1.3173418e-02
    440       7.7708706e-01       7.8741420e-01       1.3143499e-02
    441       7.7587452e-01       7.8738803e-01       1.3113722e-02
    442       7.7465938e-01       7.8735923e-01       1.3084084e-02
    443       7.7344188e-01       7.8732782e-01       1.3054587e-02
    444       7.7222251e-01       7.8729380e-01       1.3025229e-02
    445       7.7100256e-01       7.8725719e-01       1.2996010e-02
    446       7.6978314e-01       7.8721801e-01       1.2966930e-02
    447       7.6856468e-01       7.8717628e-01       1.2937988e-02
    448       7.6734885e-01       7.8713202e-01       1.2909185e-02
    449       7.6613656e-01       7.8708526e-01       1.2880518e-02
    450       7.6492756e-01       7.8703602e-01       1.2851989e-02
    451       7.6372274e-01       7.8698433e-01       1.2823596e-02
    452       7.6252400e-01       7.8693021e-01       1.2795340e-02
    453       7.6133241e-01       7.8687371e-01       1.2767219e-02
    454       7.6014805e-01       7.8681484e-01       1.2739233e-02
    455       7.5897166e-01       7.8675364e-01       1.2711382e-02
    456       7.5780416e-01       7.8669016e-01       1.2683664e-02
    457       7.5664652e-01       7.8662442e-01       1.2656080e-02
    458       7.5549965e-01       7.8655646e-01       1.2628629e-02
    459       7.5436458e-01       7.8648632e-01       1.2601311e-02
    460       7.5324324e-01       7.8641406e-01       1.2574124e-02
